"","YEAR","id2","EEZgrid","START_LONGITUDE","START_LATITUDE","S"
"292","2017",127,"1 g490",-134.826053897813,56.1221749033522,0.034
"293","1996",109,"1 g519",-135.171621953664,55.3086964455844,0.035
"294","2003",109,"1 g519",-135.171621953664,55.3086964455844,0.016
"295","2005",109,"1 g519",-135.171621953664,55.3086964455844,0.004
"296","2009",109,"1 g519",-135.171621953664,55.3086964455844,0.022
"297","2011",109,"1 g519",-135.171621953664,55.3086964455844,0.012
"298","2013",109,"1 g519",-135.171621953664,55.3086964455844,0.031
"299","2015",109,"1 g519",-135.171621953664,55.3086964455844,0.013
"300","1996",143,"1 g461",-134.252890392385,57.0578748342765,0.212
"301","1999",143,"1 g461",-134.252890392385,57.0578748342765,0.008
"302","2003",143,"1 g461",-134.252890392385,57.0578748342765,0.009
"303","2011",143,"1 g461",-134.252890392385,57.0578748342765,0.013
"304","1993",94,"1 g504",-158.427333041606,56.240176034614,0.298
"305","1996",94,"1 g504",-158.427333041606,56.240176034614,0.436
"306","2001",94,"1 g504",-158.427333041606,56.240176034614,0.491
"307","2007",94,"1 g504",-158.427333041606,56.240176034614,0.483
"308","2011",94,"1 g504",-158.427333041606,56.240176034614,0.389
"309","2013",94,"1 g504",-158.427333041606,56.240176034614,0.439
"310","2015",94,"1 g504",-158.427333041606,56.240176034614,0.667
"311","2017",94,"1 g504",-158.427333041606,56.240176034614,0.439
"312","1999",92,"1 g549",-134.227107007365,54.4669109148092,0.023
"313","2003",92,"1 g549",-134.227107007365,54.4669109148092,0.04
"314","2005",92,"1 g549",-134.227107007365,54.4669109148092,0.051
"315","2007",92,"1 g549",-134.227107007365,54.4669109148092,0.053
"316","2011",92,"1 g549",-134.227107007365,54.4669109148092,0.069
"317","2015",92,"1 g549",-134.227107007365,54.4669109148092,0.088
"318","1996",128,"1 g491",-133.457431395032,55.9504905464038,0.102
"319","1999",128,"1 g491",-133.457431395032,55.9504905464038,0.034
"320","2003",128,"1 g491",-133.457431395032,55.9504905464038,0.013
"321","2005",128,"1 g491",-133.457431395032,55.9504905464038,0.058
"322","2007",128,"1 g491",-133.457431395032,55.9504905464038,0.129
"323","2009",128,"1 g491",-133.457431395032,55.9504905464038,0.032
"324","2011",128,"1 g491",-133.457431395032,55.9504905464038,0.089
"325","2013",128,"1 g491",-133.457431395032,55.9504905464038,0.008
"326","2015",128,"1 g491",-133.457431395032,55.9504905464038,0.126
"327","2017",128,"1 g491",-133.457431395032,55.9504905464038,0.171
"328","1993",110,"1 g520",-133.762998316141,55.0444214539835,0.055
"329","1996",110,"1 g520",-133.762998316141,55.0444214539835,0.075
"330","1999",110,"1 g520",-133.762998316141,55.0444214539835,0.035
"331","2003",110,"1 g520",-133.762998316141,55.0444214539835,0.063
"332","2005",110,"1 g520",-133.762998316141,55.0444214539835,0.098
"333","2007",110,"1 g520",-133.762998316141,55.0444214539835,0.178
"334","2009",110,"1 g520",-133.762998316141,55.0444214539835,0.085
"335","2011",110,"1 g520",-133.762998316141,55.0444214539835,0.269
"336","2013",110,"1 g520",-133.762998316141,55.0444214539835,0.098
"337","2015",110,"1 g520",-133.762998316141,55.0444214539835,0.186
"338","2017",110,"1 g520",-133.762998316141,55.0444214539835,0.116
"339","1996",111,"1 g521",-132.190392569269,54.7595505772749,0.005
"340","1999",111,"1 g521",-132.190392569269,54.7595505772749,0.008
"341","2003",111,"1 g521",-132.190392569269,54.7595505772749,0.002
"342","2005",111,"1 g521",-132.190392569269,54.7595505772749,0.003
"343","2007",111,"1 g521",-132.190392569269,54.7595505772749,0.004
"344","2009",111,"1 g521",-132.190392569269,54.7595505772749,0.003
"345","2011",111,"1 g521",-132.190392569269,54.7595505772749,0.026
"346","2013",111,"1 g521",-132.190392569269,54.7595505772749,0.003
"347","2015",111,"1 g521",-132.190392569269,54.7595505772749,0.064
"348","2017",111,"1 g521",-132.190392569269,54.7595505772749,0.092
"349","1990",79,"1 g534",-157.371908501577,55.642120999765,0.23
"350","1993",79,"1 g534",-157.371908501577,55.642120999765,0.404
"351","1996",79,"1 g534",-157.371908501577,55.642120999765,0.384
"352","1999",79,"1 g534",-157.371908501577,55.642120999765,0.421
"353","2001",79,"1 g534",-157.371908501577,55.642120999765,0.376
"354","2003",79,"1 g534",-157.371908501577,55.642120999765,0.509
"355","2005",79,"1 g534",-157.371908501577,55.642120999765,0.527
"356","2007",79,"1 g534",-157.371908501577,55.642120999765,0.513
"357","2009",79,"1 g534",-157.371908501577,55.642120999765,0.542
"358","2011",79,"1 g534",-157.371908501577,55.642120999765,0.547
"359","2013",79,"1 g534",-157.371908501577,55.642120999765,0.47
"360","2015",79,"1 g534",-157.371908501577,55.642120999765,0.55
"361","2017",79,"1 g534",-157.371908501577,55.642120999765,0.471
"362","1993",64,"1 g563",-157.273453299919,54.7468229681047,0.109
"363","1996",64,"1 g563",-157.273453299919,54.7468229681047,0.054
"364","1999",64,"1 g563",-157.273453299919,54.7468229681047,0.029
"365","2001",64,"1 g563",-157.273453299919,54.7468229681047,0.041
"366","2003",64,"1 g563",-157.273453299919,54.7468229681047,0.075
"367","2005",64,"1 g563",-157.273453299919,54.7468229681047,0.025
"368","2007",64,"1 g563",-157.273453299919,54.7468229681047,0.022
"369","2009",64,"1 g563",-157.273453299919,54.7468229681047,0.111
"370","2011",64,"1 g563",-157.273453299919,54.7468229681047,0.129
"371","2013",64,"1 g563",-157.273453299919,54.7468229681047,0.177
"372","2015",64,"1 g563",-157.273453299919,54.7468229681047,0.249
"373","2017",64,"1 g563",-157.273453299919,54.7468229681047,0.101
"374","1990",95,"1 g505",-157.354296021394,56.4296750024395,0.39
"375","1993",95,"1 g505",-157.354296021394,56.4296750024395,0.455
"376","1996",95,"1 g505",-157.354296021394,56.4296750024395,0.517
"377","1999",95,"1 g505",-157.354296021394,56.4296750024395,0.453
"378","2001",95,"1 g505",-157.354296021394,56.4296750024395,0.469
"379","2003",95,"1 g505",-157.354296021394,56.4296750024395,0.597
"380","2005",95,"1 g505",-157.354296021394,56.4296750024395,0.602
"381","2007",95,"1 g505",-157.354296021394,56.4296750024395,0.598
"382","2009",95,"1 g505",-157.354296021394,56.4296750024395,0.629
"383","2011",95,"1 g505",-157.354296021394,56.4296750024395,0.622
"384","2013",95,"1 g505",-157.354296021394,56.4296750024395,0.469
"385","2015",95,"1 g505",-157.354296021394,56.4296750024395,0.616
"386","2017",95,"1 g505",-157.354296021394,56.4296750024395,0.586
