"","UniqueID","YEAR","id","EEZ_grid","GEAR_DEPTH","GEAR_TEMPERATURE","START_LONGITUDE","START_LATITUDE","PHpa.fit","PHpa.se","PHpa.low","PHpa.hi","PHcpueFit","PHcpueSE","PHcpueLow","PHcpueHi","PHpredBio","PHstdBio","ATFpa.fit","ATFpa.se","ATFpa.low","ATFpa.hi","ATFcpueFit","ATFcpueSE","ATFcpueLow","ATFcpueHi","ATFpredBio","ATFstdBio","SpatOver"
"39","114_2003","2003",114,"1 g477",161.6,6.06,-155.665572222968,57.3453027675347,0.504348653057948,0.049918497089887,0.602188907354127,0.40650839876177,4.07888873533556,0.102709221046323,4.28019880858635,3.87757866208477,2.05718203963973,0.301375384049146,0.998446527423772,0.000551836187831309,0.999528126351922,0.997364928495623,10.0930580877238,0.104348170182507,10.2975805012815,9.88853567416604,10.0773787987742,0.9826640247907,0.296
"40","114_2005","2005",114,"1 g477",134.285714285714,6.92857142857143,-155.665572222968,57.3453027675347,0.755452503698094,0.0407789203849643,0.835379187652624,0.675525819743564,4.46774177938419,0.105602300499343,4.6747222883629,4.26076127040548,3.37516671311236,0.494458995263381,0.998493300931979,0.000543018484664326,0.999557617161921,0.997428984702036,9.95471407207444,0.113137350412772,10.1764632788835,9.73296486526541,9.93971531365962,0.969240201289507,0.479
"41","114_2007","2007",114,"1 g477",179.666666666667,4.88888888888889,-155.665572222968,57.3453027675347,0.50923138817418,0.0488912291678924,0.605058197343249,0.413404579005111,3.98783995624545,0.103630824870228,4.1909563729911,3.7847235394998,2.03073327673533,0.297500663229917,0.998861079411572,0.00041571282477385,0.999675876548129,0.998046282275015,9.57441462732562,0.103335323684748,9.77695186174773,9.37187739290352,9.56351012938442,0.932555731259267,0.277
"42","114_2009","2009",114,"1 g477",152.9,5.7,-155.665572222968,57.3453027675347,0.66384988377871,0.0468728245861682,0.7557206199676,0.57197914758982,4.29304387341157,0.104877509048516,4.49860379114666,4.08748395567648,2.84993667642117,0.417513250564154,0.99903627559451,0.000353074529573527,0.999728301672474,0.998344249516546,9.97112702082526,0.108047274967113,10.1828996797608,9.75935436188971,9.96151760236504,0.971366183173955,0.406
"43","114_2011","2011",114,"1 g477",146.5,5.71666666666667,-155.665572222968,57.3453027675347,0.77359183716737,0.0364534608544115,0.845040620442017,0.702143053892724,4.19867360541448,0.102315070055184,4.39921114272264,3.99813606810632,3.24805962807874,0.475837917580783,0.999061643643957,0.000350019998654314,0.99974768284132,0.998375604446595,9.90931230162369,0.107654113651765,10.1203143643812,9.69831023886623,9.90001383544145,0.96536883601139,0.459
"44","114_2013","2013",114,"1 g477",152.571428571429,5.91428571428571,-155.665572222968,57.3453027675347,0.702669090536131,0.0455570263057968,0.791960862095493,0.61337731897677,3.97729349734897,0.105866024152326,4.18479090468753,3.76979609001041,2.79472120457747,0.40942423184257,0.998437164698574,0.000571697407755632,0.999557691617775,0.997316637779373,9.43989578836885,0.112745666129994,9.66087729398364,9.21891428275407,9.42514278598901,0.919063273222752,0.376
"45","114_2015","2015",114,"1 g477",97.9090909090909,8.25454545454545,-155.665572222968,57.3453027675347,0.980510524781061,0.00513128150028747,0.990567836521625,0.970453213040498,5.66052972897551,0.105136360731219,5.8665969960087,5.45446246194232,5.55020897509658,0.813100799633506,0.979261133171377,0.0067659548325149,0.992522404643106,0.965999861699648,8.62383396402728,0.125477712842599,8.86977028119878,8.37789764685579,8.44498541989516,0.823486298145544,0.67
"46","114_2017","2017",114,"1 g477",179,6.53333333333333,-155.665572222968,57.3453027675347,0.595973231135053,0.0529240743611602,0.699704416882927,0.49224204538718,3.9631970535405,0.109777237544618,4.17836043912795,3.74803366795305,2.36195935362345,0.346024996130826,0.999370768511921,0.000250283036364233,0.999861323263195,0.998880213760648,9.1631701618996,0.113472236406867,9.38557574525706,8.94076457854214,9.15740440670311,0.892955603893896,0.309
"47","115_1990","1990",115,"1 g478",222,4.76666666666667,-154.491534715294,57.5984289935748,0.233416515626338,0.0409970764254262,0.313770785420173,0.153062245832502,3.43584595053881,0.145399600182965,3.72082916689742,3.1508627341802,0.801983190003631,0.117489841555603,0.990637972438891,0.00325193520065383,0.997011765432172,0.984264179445609,9.25771015424603,0.137241635725776,9.52670376026855,8.9887165482235,9.17103921662921,0.894285159670927,0.105
"48","115_1993","1993",115,"1 g478",164.769230769231,5.85384615384615,-154.491534715294,57.5984289935748,0.506176516440522,0.0476751249484988,0.59961976133958,0.412733271541465,3.99599036726053,0.0937064387644027,4.17965498723876,3.81232574728231,2.02267648382982,0.296320350059125,0.998524523886664,0.000490642013649559,0.999486182233417,0.997562865539911,9.96598565554243,0.101216232300394,10.1643694708512,9.76760184023366,9.95128108176183,0.970368000934638,0.288
"49","115_1996","1996",115,"1 g478",151.428571428571,5.44285714285714,-154.491534715294,57.5984289935748,0.430699934724432,0.0460899405081656,0.521036218120436,0.340363651328427,4.01756522533239,0.0938877159091819,4.20158514851439,3.8335453021504,1.73036508030181,0.253496983044105,0.999126958008054,0.000295862305496045,0.999706848126826,0.998547067889282,9.90193297424678,0.100512956104116,10.0989383682108,9.70492758028271,9.89328817095883,0.964713003908433,0.245
"50","115_1999","1999",115,"1 g478",188.909090909091,4.38181818181818,-154.491534715294,57.5984289935748,0.288343977377686,0.0391809946378392,0.365138726867851,0.211549227887521,3.86352613718077,0.101217883569716,4.06191318897741,3.66513908538413,1.11402449309735,0.163203621739847,0.999757891308383,8.96986166105181e-05,0.99993370059694,0.999582082019826,9.40828563101462,0.100689086097507,9.60563623976574,9.21093502226351,9.40600780329014,0.917197385327831,0.15
"51","115_2001","2001",115,"1 g478",154.666666666667,5.71666666666667,-154.491534715294,57.5984289935748,0.321022581142184,0.0453035611682567,0.409817561031967,0.232227601252401,3.81755230246404,0.100791421073978,4.01510348776904,3.62000111715905,1.22552049378229,0.179537689109137,0.999030032411506,0.00034321399297638,0.99970273183774,0.998357332985272,9.89412386530972,0.110782243476404,10.1112570625235,9.67699066809597,9.88452688584383,0.963858674636372,0.173
"52","115_2003","2003",115,"1 g478",135.142857142857,6.56428571428571,-154.491534715294,57.5984289935748,0.661314916481433,0.0445348961043641,0.748603312845987,0.57402652011688,4.53429863815459,0.0907601121534261,4.7121884579753,4.35640881833387,2.99859932519308,0.439292199633359,0.998966698179769,0.00034373109307861,0.999640411122203,0.998292985237335,10.2271554673545,0.102963888802814,10.428964689408,10.025346245301,10.2165877289943,0.996238547530038,0.438
"53","115_2005","2005",115,"1 g478",137.090909090909,6.16363636363636,-154.491534715294,57.5984289935748,0.625880616149872,0.0453706287285415,0.714807048457813,0.53695418384193,4.4487068597139,0.0916276853145986,4.62829712293052,4.26911659649729,2.7843593904279,0.407906235059301,0.999614842860031,0.000135939459878319,0.999881284201393,0.99934840151867,10.2591134043327,0.101634395228199,10.45831681898,10.0599099896854,10.2551620335553,1,0.408
"54","115_2007","2007",115,"1 g478",115.368421052632,4.71052631578947,-154.491534715294,57.5984289935748,0.856858070833784,0.0238944784160755,0.903691248529292,0.810024893138276,4.87593428673086,0.0879132926051592,5.04824434023697,4.70362423322474,4.17798364644051,0.612070979492691,0.997771370574613,0.000718673865146555,0.9991799713503,0.996362769798925,9.68116042094694,0.101193103658407,9.87949890411742,9.48282193777646,9.65958470196092,0.941924142237285,0.577
"55","115_2009","2009",115,"1 g478",123,5.225,-154.491534715294,57.5984289935748,0.797124280423956,0.0314941718381227,0.858852857226677,0.735395703621236,4.85246228412777,0.0904961990389919,5.0298348342442,4.67508973401135,3.86801550651974,0.566660915914662,0.999158279577062,0.000284665140666055,0.999716223252768,0.998600335901357,9.94908194779026,0.101581642535055,10.148181967159,9.74998192842155,9.94070760232533,0.969336961210262,0.549
"56","115_2011","2011",115,"1 g478",129.333333333333,5.36666666666667,-154.491534715294,57.5984289935748,0.812984269147064,0.0301461291299381,0.872070682241743,0.753897856052385,4.55920200610131,0.0903077835053551,4.73620526177181,4.38219875043082,3.7065595108241,0.543007752620308,0.999482513062329,0.000184212839775417,0.999843570228289,0.999121455896369,9.97771601908875,0.102490073641506,10.1785965634261,9.7768354747514,9.97255268138108,0.972442234335305,0.528
"57","115_2013","2013",115,"1 g478",140,5.27272727272727,-154.491534715294,57.5984289935748,0.703673192191395,0.0416214209182414,0.785251177191148,0.622095207191641,4.21071228145659,0.0929663061744193,4.39292624155846,4.02849832135473,2.96296535249207,0.434071853547777,0.999337879743374,0.000231897281462827,0.999792398415041,0.998883361071707,9.63545709460073,0.105477823434499,9.84219362853235,9.42872056066911,9.62907726327654,0.938949304922715,0.408
"58","115_2015","2015",115,"1 g478",166.642857142857,6.1,-154.491534715294,57.5984289935748,0.685815603316109,0.0414164219233319,0.76699179028584,0.604639416346379,4.38309484175005,0.0903260862190176,4.56013397073933,4.20605571276078,3.00599483328654,0.440375635152899,0.99963555884636,0.000130003183183151,0.999890365085399,0.999380752607321,9.85366408686302,0.0998683432881817,10.0494060397079,9.65792213401818,9.85007300615562,0.960499012490082,0.423
"59","115_2017","2017",115,"1 g478",161.3,5.22,-154.491534715294,57.5984289935748,0.567867780924761,0.0488419118807957,0.66359792821112,0.472137633638401,4.05254385359516,0.0957998065855536,4.24031147450284,3.86477623268747,2.30130908524136,0.337139784431458,0.999783161722771,8.37090327078714e-05,0.999947231426878,0.999619092018663,9.68577841847454,0.105245639239611,9.89205987138417,9.4794969655649,9.68367817096865,0.944273541391476,0.318
"60","116_1993","1993",116,"1 g479",88.0625,7.41875,-152.315925218051,57.477297906767,0.931470730679328,0.0124152089563301,0.955804540233735,0.907136921124921,5.61236639724969,0.0797751541587685,5.76872569940088,5.45600709509851,5.22775502888628,0.765861576266424,0.841240637979246,0.0285445310465314,0.897187918830448,0.785293357128045,7.97346641550153,0.0970703899702637,8.16372437984324,7.78320845115981,6.7076039742826,0.654070989062393,0.501
